Persona ID,Persona Label,Question #,Question Text,Module Activated,Always On Modules
lawyer-solicitor,"Lawyer / Solicitor",1,"Do clients book appointments or sessions with you?",bookings-calendar,client-database (Clients) | leads-pipeline (Leads) | communication (Messages) | quotes-invoicing (Billing)
lawyer-solicitor,"Lawyer / Solicitor",2,"Do you manage projects or jobs?",jobs-projects,
lawyer-solicitor,"Lawyer / Solicitor",3,"Do you sell products or services?",products,
lawyer-solicitor,"Lawyer / Solicitor",4,"Do you run marketing or promotions?",marketing,
lawyer-solicitor,"Lawyer / Solicitor",5,"Do you have a team?",team,
lawyer-solicitor,"Lawyer / Solicitor",6,"Would you like to automate repetitive tasks?",automations,
lawyer-solicitor,"Lawyer / Solicitor",7,"Do you want dashboards and reports?",reporting,
consultant,"Consultant",1,"Do clients book appointments or sessions with you?",bookings-calendar,client-database (Clients) | leads-pipeline (Leads) | communication (Messages) | quotes-invoicing (Billing)
consultant,"Consultant",2,"Do you manage projects or jobs?",jobs-projects,
consultant,"Consultant",3,"Do you sell products or services?",products,
consultant,"Consultant",4,"Do you run marketing or promotions?",marketing,
consultant,"Consultant",5,"Do you have a team?",team,
consultant,"Consultant",6,"Would you like to automate repetitive tasks?",automations,
consultant,"Consultant",7,"Do you want dashboards and reports?",reporting,
real-estate-agent,"Real Estate Agent",1,"Do clients book appointments or sessions with you?",bookings-calendar,client-database (Clients) | leads-pipeline (Leads) | communication (Messages) | quotes-invoicing (Billing)
real-estate-agent,"Real Estate Agent",2,"Do you manage projects or jobs?",jobs-projects,
real-estate-agent,"Real Estate Agent",3,"Do you sell products or services?",products,
real-estate-agent,"Real Estate Agent",4,"Do you run marketing or promotions?",marketing,
real-estate-agent,"Real Estate Agent",5,"Do you have a team?",team,
real-estate-agent,"Real Estate Agent",6,"Would you like to automate repetitive tasks?",automations,
real-estate-agent,"Real Estate Agent",7,"Do you want dashboards and reports?",reporting,
financial-advisor,"Financial Advisor",1,"Do clients book appointments or sessions with you?",bookings-calendar,client-database (Clients) | leads-pipeline (Leads) | communication (Messages) | quotes-invoicing (Billing)
financial-advisor,"Financial Advisor",2,"Do you manage projects or jobs?",jobs-projects,
financial-advisor,"Financial Advisor",3,"Do you sell products or services?",products,
financial-advisor,"Financial Advisor",4,"Do you run marketing or promotions?",marketing,
financial-advisor,"Financial Advisor",5,"Do you have a team?",team,
financial-advisor,"Financial Advisor",6,"Would you like to automate repetitive tasks?",automations,
financial-advisor,"Financial Advisor",7,"Do you want dashboards and reports?",reporting,
marketing-agency,"Marketing Agency",1,"Do clients book appointments or sessions with you?",bookings-calendar,client-database (Clients) | leads-pipeline (Leads) | communication (Messages) | quotes-invoicing (Billing)
marketing-agency,"Marketing Agency",2,"Do you manage projects or jobs?",jobs-projects,
marketing-agency,"Marketing Agency",3,"Do you sell products or services?",products,
marketing-agency,"Marketing Agency",4,"Do you run marketing or promotions?",marketing,
marketing-agency,"Marketing Agency",5,"Do you have a team?",team,
marketing-agency,"Marketing Agency",6,"Would you like to automate repetitive tasks?",automations,
marketing-agency,"Marketing Agency",7,"Do you want dashboards and reports?",reporting,
personal-trainer,"Personal Trainer",1,"Do clients book appointments or sessions with you?",bookings-calendar,client-database (Clients) | leads-pipeline (Leads) | communication (Messages) | quotes-invoicing (Billing)
personal-trainer,"Personal Trainer",2,"Do you manage projects or jobs?",jobs-projects,
personal-trainer,"Personal Trainer",3,"Do you sell products or services?",products,
personal-trainer,"Personal Trainer",4,"Do you run marketing or promotions?",marketing,
personal-trainer,"Personal Trainer",5,"Do you have a team?",team,
personal-trainer,"Personal Trainer",6,"Would you like to automate repetitive tasks?",automations,
personal-trainer,"Personal Trainer",7,"Do you want dashboards and reports?",reporting,
gym-studio-owner,"Gym / Studio Owner",1,"Do clients book appointments or sessions with you?",bookings-calendar,client-database (Clients) | leads-pipeline (Leads) | communication (Messages) | quotes-invoicing (Billing)
gym-studio-owner,"Gym / Studio Owner",2,"Do you manage projects or jobs?",jobs-projects,
gym-studio-owner,"Gym / Studio Owner",3,"Do you sell products or services?",products,
gym-studio-owner,"Gym / Studio Owner",4,"Do you run marketing or promotions?",marketing,
gym-studio-owner,"Gym / Studio Owner",5,"Do you have a team?",team,
gym-studio-owner,"Gym / Studio Owner",6,"Would you like to automate repetitive tasks?",automations,
gym-studio-owner,"Gym / Studio Owner",7,"Do you want dashboards and reports?",reporting,
yoga-pilates,"Yoga / Pilates Studio",1,"Do clients book appointments or sessions with you?",bookings-calendar,client-database (Clients) | leads-pipeline (Leads) | communication (Messages) | quotes-invoicing (Billing)
yoga-pilates,"Yoga / Pilates Studio",2,"Do you manage projects or jobs?",jobs-projects,
yoga-pilates,"Yoga / Pilates Studio",3,"Do you sell products or services?",products,
yoga-pilates,"Yoga / Pilates Studio",4,"Do you run marketing or promotions?",marketing,
yoga-pilates,"Yoga / Pilates Studio",5,"Do you have a team?",team,
yoga-pilates,"Yoga / Pilates Studio",6,"Would you like to automate repetitive tasks?",automations,
yoga-pilates,"Yoga / Pilates Studio",7,"Do you want dashboards and reports?",reporting,
physio-chiro,"Physio / Chiro",1,"Do clients book appointments or sessions with you?",bookings-calendar,client-database (Clients) | leads-pipeline (Leads) | communication (Messages) | quotes-invoicing (Billing)
physio-chiro,"Physio / Chiro",2,"Do you manage projects or jobs?",jobs-projects,
physio-chiro,"Physio / Chiro",3,"Do you sell products or services?",products,
physio-chiro,"Physio / Chiro",4,"Do you run marketing or promotions?",marketing,
physio-chiro,"Physio / Chiro",5,"Do you have a team?",team,
physio-chiro,"Physio / Chiro",6,"Would you like to automate repetitive tasks?",automations,
physio-chiro,"Physio / Chiro",7,"Do you want dashboards and reports?",reporting,
nutritionist,"Nutritionist",1,"Do clients book appointments or sessions with you?",bookings-calendar,client-database (Clients) | leads-pipeline (Leads) | communication (Messages) | quotes-invoicing (Billing)
nutritionist,"Nutritionist",2,"Do you manage projects or jobs?",jobs-projects,
nutritionist,"Nutritionist",3,"Do you sell products or services?",products,
nutritionist,"Nutritionist",4,"Do you run marketing or promotions?",marketing,
nutritionist,"Nutritionist",5,"Do you have a team?",team,
nutritionist,"Nutritionist",6,"Would you like to automate repetitive tasks?",automations,
nutritionist,"Nutritionist",7,"Do you want dashboards and reports?",reporting,
photographer,"Photographer",1,"Do clients book appointments or sessions with you?",bookings-calendar,client-database (Clients) | leads-pipeline (Leads) | communication (Messages) | quotes-invoicing (Billing)
photographer,"Photographer",2,"Do you manage projects or jobs?",jobs-projects,
photographer,"Photographer",3,"Do you sell products or services?",products,
photographer,"Photographer",4,"Do you run marketing or promotions?",marketing,
photographer,"Photographer",5,"Do you have a team?",team,
photographer,"Photographer",6,"Would you like to automate repetitive tasks?",automations,
photographer,"Photographer",7,"Do you want dashboards and reports?",reporting,
graphic-designer,"Graphic Designer",1,"Do clients book appointments or sessions with you?",bookings-calendar,client-database (Clients) | leads-pipeline (Leads) | communication (Messages) | quotes-invoicing (Billing)
graphic-designer,"Graphic Designer",2,"Do you manage projects or jobs?",jobs-projects,
graphic-designer,"Graphic Designer",3,"Do you sell products or services?",products,
graphic-designer,"Graphic Designer",4,"Do you run marketing or promotions?",marketing,
graphic-designer,"Graphic Designer",5,"Do you have a team?",team,
graphic-designer,"Graphic Designer",6,"Would you like to automate repetitive tasks?",automations,
graphic-designer,"Graphic Designer",7,"Do you want dashboards and reports?",reporting,
web-designer-developer,"Web Designer / Developer",1,"Do clients book appointments or sessions with you?",bookings-calendar,client-database (Clients) | leads-pipeline (Leads) | communication (Messages) | quotes-invoicing (Billing)
web-designer-developer,"Web Designer / Developer",2,"Do you manage projects or jobs?",jobs-projects,
web-designer-developer,"Web Designer / Developer",3,"Do you sell products or services?",products,
web-designer-developer,"Web Designer / Developer",4,"Do you run marketing or promotions?",marketing,
web-designer-developer,"Web Designer / Developer",5,"Do you have a team?",team,
web-designer-developer,"Web Designer / Developer",6,"Would you like to automate repetitive tasks?",automations,
web-designer-developer,"Web Designer / Developer",7,"Do you want dashboards and reports?",reporting,
videographer,"Videographer",1,"Do clients book appointments or sessions with you?",bookings-calendar,client-database (Clients) | leads-pipeline (Leads) | communication (Messages) | quotes-invoicing (Billing)
videographer,"Videographer",2,"Do you manage projects or jobs?",jobs-projects,
videographer,"Videographer",3,"Do you sell products or services?",products,
videographer,"Videographer",4,"Do you run marketing or promotions?",marketing,
videographer,"Videographer",5,"Do you have a team?",team,
videographer,"Videographer",6,"Would you like to automate repetitive tasks?",automations,
videographer,"Videographer",7,"Do you want dashboards and reports?",reporting,
interior-designer,"Interior Designer",1,"Do clients book appointments or sessions with you?",bookings-calendar,client-database (Clients) | leads-pipeline (Leads) | communication (Messages) | quotes-invoicing (Billing)
interior-designer,"Interior Designer",2,"Do you manage projects or jobs?",jobs-projects,
interior-designer,"Interior Designer",3,"Do you sell products or services?",products,
interior-designer,"Interior Designer",4,"Do you run marketing or promotions?",marketing,
interior-designer,"Interior Designer",5,"Do you have a team?",team,
interior-designer,"Interior Designer",6,"Would you like to automate repetitive tasks?",automations,
interior-designer,"Interior Designer",7,"Do you want dashboards and reports?",reporting,
wedding-planner,"Wedding Planner",1,"Do clients book appointments or sessions with you?",bookings-calendar,client-database (Clients) | leads-pipeline (Leads) | communication (Messages) | quotes-invoicing (Billing)
wedding-planner,"Wedding Planner",2,"Do you manage projects or jobs?",jobs-projects,
wedding-planner,"Wedding Planner",3,"Do you sell products or services?",products,
wedding-planner,"Wedding Planner",4,"Do you run marketing or promotions?",marketing,
wedding-planner,"Wedding Planner",5,"Do you have a team?",team,
wedding-planner,"Wedding Planner",6,"Would you like to automate repetitive tasks?",automations,
wedding-planner,"Wedding Planner",7,"Do you want dashboards and reports?",reporting,
event-planner,"Event Planner",1,"Do clients book appointments or sessions with you?",bookings-calendar,client-database (Clients) | leads-pipeline (Leads) | communication (Messages) | quotes-invoicing (Billing)
event-planner,"Event Planner",2,"Do you manage projects or jobs?",jobs-projects,
event-planner,"Event Planner",3,"Do you sell products or services?",products,
event-planner,"Event Planner",4,"Do you run marketing or promotions?",marketing,
event-planner,"Event Planner",5,"Do you have a team?",team,
event-planner,"Event Planner",6,"Would you like to automate repetitive tasks?",automations,
event-planner,"Event Planner",7,"Do you want dashboards and reports?",reporting,
caterer,"Caterer",1,"Do clients book appointments or sessions with you?",bookings-calendar,client-database (Clients) | leads-pipeline (Leads) | communication (Messages) | quotes-invoicing (Billing)
caterer,"Caterer",2,"Do you manage projects or jobs?",jobs-projects,
caterer,"Caterer",3,"Do you sell products or services?",products,
caterer,"Caterer",4,"Do you run marketing or promotions?",marketing,
caterer,"Caterer",5,"Do you have a team?",team,
caterer,"Caterer",6,"Would you like to automate repetitive tasks?",automations,
caterer,"Caterer",7,"Do you want dashboards and reports?",reporting,
venue-manager,"Venue Manager",1,"Do clients book appointments or sessions with you?",bookings-calendar,client-database (Clients) | leads-pipeline (Leads) | communication (Messages) | quotes-invoicing (Billing)
venue-manager,"Venue Manager",2,"Do you manage projects or jobs?",jobs-projects,
venue-manager,"Venue Manager",3,"Do you sell products or services?",products,
venue-manager,"Venue Manager",4,"Do you run marketing or promotions?",marketing,
venue-manager,"Venue Manager",5,"Do you have a team?",team,
venue-manager,"Venue Manager",6,"Would you like to automate repetitive tasks?",automations,
venue-manager,"Venue Manager",7,"Do you want dashboards and reports?",reporting,
florist,"Florist",1,"Do clients book appointments or sessions with you?",bookings-calendar,client-database (Clients) | leads-pipeline (Leads) | communication (Messages) | quotes-invoicing (Billing)
florist,"Florist",2,"Do you manage projects or jobs?",jobs-projects,
florist,"Florist",3,"Do you sell products or services?",products,
florist,"Florist",4,"Do you run marketing or promotions?",marketing,
florist,"Florist",5,"Do you have a team?",team,
florist,"Florist",6,"Would you like to automate repetitive tasks?",automations,
florist,"Florist",7,"Do you want dashboards and reports?",reporting,
tutor,"Tutor",1,"Do clients book appointments or sessions with you?",bookings-calendar,client-database (Clients) | leads-pipeline (Leads) | communication (Messages) | quotes-invoicing (Billing)
tutor,"Tutor",2,"Do you manage projects or jobs?",jobs-projects,
tutor,"Tutor",3,"Do you sell products or services?",products,
tutor,"Tutor",4,"Do you run marketing or promotions?",marketing,
tutor,"Tutor",5,"Do you have a team?",team,
tutor,"Tutor",6,"Would you like to automate repetitive tasks?",automations,
tutor,"Tutor",7,"Do you want dashboards and reports?",reporting,
life-business-coach,"Life / Business Coach",1,"Do clients book appointments or sessions with you?",bookings-calendar,client-database (Clients) | leads-pipeline (Leads) | communication (Messages) | quotes-invoicing (Billing)
life-business-coach,"Life / Business Coach",2,"Do you manage projects or jobs?",jobs-projects,
life-business-coach,"Life / Business Coach",3,"Do you sell products or services?",products,
life-business-coach,"Life / Business Coach",4,"Do you run marketing or promotions?",marketing,
life-business-coach,"Life / Business Coach",5,"Do you have a team?",team,
life-business-coach,"Life / Business Coach",6,"Would you like to automate repetitive tasks?",automations,
life-business-coach,"Life / Business Coach",7,"Do you want dashboards and reports?",reporting,
music-teacher,"Music Teacher",1,"Do clients book appointments or sessions with you?",bookings-calendar,client-database (Clients) | leads-pipeline (Leads) | communication (Messages) | quotes-invoicing (Billing)
music-teacher,"Music Teacher",2,"Do you manage projects or jobs?",jobs-projects,
music-teacher,"Music Teacher",3,"Do you sell products or services?",products,
music-teacher,"Music Teacher",4,"Do you run marketing or promotions?",marketing,
music-teacher,"Music Teacher",5,"Do you have a team?",team,
music-teacher,"Music Teacher",6,"Would you like to automate repetitive tasks?",automations,
music-teacher,"Music Teacher",7,"Do you want dashboards and reports?",reporting,
driving-instructor,"Driving Instructor",1,"Do clients book appointments or sessions with you?",bookings-calendar,client-database (Clients) | leads-pipeline (Leads) | communication (Messages) | quotes-invoicing (Billing)
driving-instructor,"Driving Instructor",2,"Do you manage projects or jobs?",jobs-projects,
driving-instructor,"Driving Instructor",3,"Do you sell products or services?",products,
driving-instructor,"Driving Instructor",4,"Do you run marketing or promotions?",marketing,
driving-instructor,"Driving Instructor",5,"Do you have a team?",team,
driving-instructor,"Driving Instructor",6,"Would you like to automate repetitive tasks?",automations,
driving-instructor,"Driving Instructor",7,"Do you want dashboards and reports?",reporting,
online-course-creator,"Online Course Creator",1,"Do clients book appointments or sessions with you?",bookings-calendar,client-database (Clients) | leads-pipeline (Leads) | communication (Messages) | quotes-invoicing (Billing)
online-course-creator,"Online Course Creator",2,"Do you manage projects or jobs?",jobs-projects,
online-course-creator,"Online Course Creator",3,"Do you sell products or services?",products,
online-course-creator,"Online Course Creator",4,"Do you run marketing or promotions?",marketing,
online-course-creator,"Online Course Creator",5,"Do you have a team?",team,
online-course-creator,"Online Course Creator",6,"Would you like to automate repetitive tasks?",automations,
online-course-creator,"Online Course Creator",7,"Do you want dashboards and reports?",reporting,
online-store,"Online Store",1,"Do clients book appointments or sessions with you?",bookings-calendar,client-database (Clients) | leads-pipeline (Leads) | communication (Messages) | quotes-invoicing (Billing)
online-store,"Online Store",2,"Do you manage projects or jobs?",jobs-projects,
online-store,"Online Store",3,"Do you sell products or services?",products,
online-store,"Online Store",4,"Do you run marketing or promotions?",marketing,
online-store,"Online Store",5,"Do you have a team?",team,
online-store,"Online Store",6,"Would you like to automate repetitive tasks?",automations,
online-store,"Online Store",7,"Do you want dashboards and reports?",reporting,
boutique-shop,"Boutique Shop",1,"Do clients book appointments or sessions with you?",bookings-calendar,client-database (Clients) | leads-pipeline (Leads) | communication (Messages) | quotes-invoicing (Billing)
boutique-shop,"Boutique Shop",2,"Do you manage projects or jobs?",jobs-projects,
boutique-shop,"Boutique Shop",3,"Do you sell products or services?",products,
boutique-shop,"Boutique Shop",4,"Do you run marketing or promotions?",marketing,
boutique-shop,"Boutique Shop",5,"Do you have a team?",team,
boutique-shop,"Boutique Shop",6,"Would you like to automate repetitive tasks?",automations,
boutique-shop,"Boutique Shop",7,"Do you want dashboards and reports?",reporting,
handmade-artisan,"Handmade / Artisan",1,"Do clients book appointments or sessions with you?",bookings-calendar,client-database (Clients) | leads-pipeline (Leads) | communication (Messages) | quotes-invoicing (Billing)
handmade-artisan,"Handmade / Artisan",2,"Do you manage projects or jobs?",jobs-projects,
handmade-artisan,"Handmade / Artisan",3,"Do you sell products or services?",products,
handmade-artisan,"Handmade / Artisan",4,"Do you run marketing or promotions?",marketing,
handmade-artisan,"Handmade / Artisan",5,"Do you have a team?",team,
handmade-artisan,"Handmade / Artisan",6,"Would you like to automate repetitive tasks?",automations,
handmade-artisan,"Handmade / Artisan",7,"Do you want dashboards and reports?",reporting,
food-beverage,"Food & Beverage",1,"Do clients book appointments or sessions with you?",bookings-calendar,client-database (Clients) | leads-pipeline (Leads) | communication (Messages) | quotes-invoicing (Billing)
food-beverage,"Food & Beverage",2,"Do you manage projects or jobs?",jobs-projects,
food-beverage,"Food & Beverage",3,"Do you sell products or services?",products,
food-beverage,"Food & Beverage",4,"Do you run marketing or promotions?",marketing,
food-beverage,"Food & Beverage",5,"Do you have a team?",team,
food-beverage,"Food & Beverage",6,"Would you like to automate repetitive tasks?",automations,
food-beverage,"Food & Beverage",7,"Do you want dashboards and reports?",reporting,
